state,action,reward,next_state
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
251,0,-0.01,251
251,0,-0.01,251
251,2,-0.01,250
250,0,-0.01,230
230,1,-0.01,250
250,1,-0.01,250
250,0,-0.01,230
230,0,-0.01,210
210,2,-0.01,210
210,3,-0.01,210
210,1,-0.01,230
230,2,-0.01,230
230,2,-0.01,230
230,0,-0.01,210
210,1,-0.01,230
230,0,-0.01,210
210,1,-0.01,230
230,1,-0.01,250
250,3,-0.01,251
251,3,-0.01,252
252,1,-0.01,252
252,1,-0.01,252
252,0,-0.01,252
252,0,-0.01,252
252,1,-0.01,252
252,2,-0.01,251
251,2,-0.01,250
250,0,-0.01,230
230,3,-0.01,230
230,1,-0.01,250
250,0,-0.01,230
230,2,-0.01,230
230,1,-0.01,250
250,1,-0.01,250
250,3,-0.01,251
251,2,-0.01,250
250,3,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,2,-0.01,250
250,3,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,3,-0.01,252
252,3,-0.01,253
253,2,-0.01,252
252,0,-0.01,252
252,0,-0.01,252
252,2,-0.01,251
251,2,-0.01,250
250,1,-0.01,250
250,2,-0.01,250
250,1,-0.01,250
250,3,-0.01,251
251,2,-0.01,250
250,1,-0.01,250
250,0,-0.01,230
230,2,-0.01,230
230,3,-0.01,230
230,0,-0.01,210
210,1,-0.01,230
230,3,-0.01,230
230,1,-0.01,250
250,3,-0.01,251
251,3,-0.01,252
252,3,-0.01,253
253,3,-0.01,254
254,1,-0.01,254
254,2,-0.01,253
253,0,-0.01,253
253,0,-0.01,253
253,3,-0.01,254
254,1,-0.01,254
254,3,-0.01,255
255,1,-0.01,275
275,3,-0.01,275
275,2,-0.01,275
275,0,-0.01,255
255,0,-0.01,255
255,0,-0.01,255
255,2,-0.01,254
254,2,-0.01,253
253,3,-0.01,254
254,2,-0.01,253
253,1,-0.01,253
253,1,-0.01,253
253,0,-0.01,253
253,2,-0.01,252
252,1,-0.01,252
252,1,-0.01,252
252,3,-0.01,253
253,1,-0.01,253
253,2,-0.01,252
252,1,-0.01,252
252,1,-0.01,252
252,1,-0.01,252
252,2,-0.01,251
251,2,-0.01,250
250,2,-0.01,250
250,2,-0.01,250
250,3,-0.01,251
251,0,-0.01,251
251,0,-0.01,251
251,1,-0.01,251
251,3,-0.01,252
252,1,-0.01,252
252,1,-0.01,252
252,3,-0.01,253
253,2,-0.01,252
252,1,-0.01,252
252,0,-0.01,252
252,0,-0.01,252
252,1,-0.01,252
252,0,-0.01,252
252,1,-0.01,252
252,0,-0.01,252
252,1,-0.01,252
252,0,-0.01,252
252,3,-0.01,253
253,1,-0.01,253
253,1,-0.01,253
253,1,-0.01,253
253,0,-0.01,253
253,3,-0.01,254
254,3,-0.01,255
255,0,-0.01,255
255,0,-0.01,255
255,0,-0.01,255
255,1,-0.01,275
275,1,-0.01,295
295,0,-0.01,275
275,2,-0.01,275
275,1,-0.01,295
295,0,-0.01,275
275,3,-0.01,275
275,1,-0.01,295
295,2,-0.01,295
295,3,-0.01,295
295,3,-0.01,295
295,1,-0.01,315
315,1,-0.01,335
335,1,-0.01,335
335,0,-0.01,315
315,2,-0.01,315
315,3,-0.01,315
315,0,-0.01,295
295,2,-0.01,295
295,0,-0.01,275
275,2,-0.01,275
275,1,-0.01,295
295,2,-0.01,295
295,3,-0.01,295
295,3,-0.01,295
295,1,-0.01,315
315,0,-0.01,295
295,1,-0.01,315
315,0,-0.01,295
295,0,-0.01,275
275,0,-0.01,255
255,1,-0.01,275
275,2,-0.01,275
275,0,-0.01,255
255,0,-0.01,255
255,1,-0.01,275
275,0,-0.01,255
255,2,-0.01,254
254,0,-0.01,254
254,0,-0.01,254
254,3,-0.01,255
255,3,-0.01,255
255,0,-0.01,255
255,3,-0.01,255
255,3,-0.01,255
255,1,-0.01,275
275,1,-0.01,295
295,1,-0.01,315
315,3,-0.01,315
315,1,-0.01,335
335,1,-0.01,335
335,3,-0.01,336
336,0,-0.01,336
336,3,-0.01,337
337,1,-0.01,337
337,2,-0.01,336
336,2,-0.01,335
335,0,-0.01,315
315,2,-0.01,315
315,3,-0.01,315
315,2,-0.01,315
315,1,-0.01,335
335,3,-0.01,336
336,1,-0.01,336
336,3,-0.01,337
337,1,-0.01,337
337,3,-0.01,338
338,1,-0.01,358
164,2,-0.01,164
164,3,-0.01,165
165,3,-0.01,166
166,3,-0.01,167
167,2,-0.01,166
166,3,-0.01,167
167,3,-0.01,168
168,3,-0.01,169
169,3,-0.01,170
170,1,-0.01,190
190,2,-0.01,190
190,1,-0.01,210
210,1,-0.01,230
230,1,-0.01,250
250,3,-0.01,251
251,3,-0.01,252
252,3,-0.01,253
253,3,-0.01,254
254,3,-0.01,255
255,1,-0.01,275
275,1,-0.01,295
295,1,-0.01,315
315,1,-0.01,335
335,3,-0.01,336
336,2,-0.01,335
335,3,-0.01,336
336,3,-0.01,337
337,1,-0.01,337
337,0,-0.01,337
337,2,-0.01,336
336,3,-0.01,337
337,3,-0.01,338
338,1,-0.01,358
358,0,-0.01,338
338,1,-0.01,358
358,2,-0.01,358
358,0,-0.01,338
338,1,-0.01,358
358,1,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,3,10.0,399
399,0,10.0,399
399,2,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,3,10.0,399
399,3,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,2,10.0,399
399,2,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
336,2,-0.01,335
335,0,-0.01,315
315,1,-0.01,335
335,3,-0.01,336
336,0,-0.01,336
336,3,-0.01,337
337,3,-0.01,338
338,2,-0.01,337
337,1,-0.01,337
337,3,-0.01,338
338,1,-0.01,358
358,1,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,3,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
378,1,-0.01,398
398,2,-0.01,398
398,3,-0.01,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,3,10.0,399
337,3,-0.01,338
338,1,-0.01,358
358,1,-0.01,378
378,3,-0.01,378
378,3,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,1,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
253,1,-0.01,253
253,3,-0.01,254
254,3,-0.01,255
255,1,-0.01,275
275,1,-0.01,295
295,1,-0.01,315
315,1,-0.01,335
335,3,-0.01,336
336,2,-0.01,335
335,2,-0.01,335
335,3,-0.01,336
336,3,-0.01,337
337,3,-0.01,338
338,1,-0.01,358
358,1,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,1,10.0,399
399,2,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
190,3,-0.01,190
190,1,-0.01,210
210,1,-0.01,230
230,0,-0.01,210
210,1,-0.01,230
230,0,-0.01,210
210,1,-0.01,230
230,1,-0.01,250
250,3,-0.01,251
251,3,-0.01,252
252,1,-0.01,252
252,2,-0.01,251
251,3,-0.01,252
252,0,-0.01,252
252,3,-0.01,253
253,3,-0.01,254
254,3,-0.01,255
255,1,-0.01,275
275,1,-0.01,295
295,3,-0.01,295
295,1,-0.01,315
315,3,-0.01,315
315,2,-0.01,315
315,0,-0.01,295
295,1,-0.01,315
315,1,-0.01,335
335,3,-0.01,336
336,3,-0.01,337
337,3,-0.01,338
338,1,-0.01,358
358,1,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
315,1,-0.01,335
335,0,-0.01,315
315,1,-0.01,335
335,3,-0.01,336
336,3,-0.01,337
337,2,-0.01,336
336,3,-0.01,337
337,3,-0.01,338
338,1,-0.01,358
358,1,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,1,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
190,1,-0.01,210
210,3,-0.01,210
210,0,-0.01,190
190,1,-0.01,210
210,3,-0.01,210
210,3,-0.01,210
